dir,common,corpus,blog,com_count
154,"['verstümmelte', 'singend', 'kotztüten', 'kotzgeräusche']","['fernsehgeräusche', 'grausamste', 'diskret', 'erstaunlicherweise', 'entferntesten', 'familienmitglieder']","['übertönen', 'zimmern', 'verschwanden', 'verlegenheit', 'lebensmittel', 'laute']",4
155,"['wehte', 'wind', 'spiegelung', 'mütze', 'pfütze', 'der', 'wahrheit', 'fort', 'nahm']",['gedicht'],['kopf'],9
156,"['zuweilen', 'vollends', 'religiöser', 'praktiken', 'kapseltierchen', 'kaffeetisch']","['eingedeckten', 'amöbenhafte', 'eifriges', 'diverser']","['hatte', 'verstanden', 'konzentrieren', 'grundsätzlich']",6
157,"['montagsgedanken', 'vertauschen', 'verlass', 'montagshose', 'freitagsgedanken', 'bügelfalten', 'antifaltencreme', 'überlegte']","['schrank', 'sie']","['wen', 'verschwunden']",8
158,"['schlug', 'wimpern', 'ungetuschten', 'blickte', 'hoffnungsvoll', 'schaute', 'neuen', 'gesicht', 'noch', 'hoch']",[],[],10
159,"['er', 'gedicht', 'anfang', 'versendet']","['menscheit', 'fliegenschiss', 'sühnen', 'danieder', 'strengem', 'strumpf']","['sein', 'die', 'organisch', 'dich', 'wichtigkeit', 'verzehren']",4
160,"['ruht', 'deiner', 'weich', 'seele', 'weit', 'therapeuten', 'schrittst', 'queren', 'aufprall', 'abgrund']",[],[],10
161,"['rieseln', 'morgen', 'rückzug', 'treten', 'gabs', 'am', 'schranken', 'manche', 'gestern']",['gedanken'],['es'],9
162,"['geschwader', 'friedlichem', 'information', 'gelaber', 'frisiert', 'formatiert', 'angriff', 'allüberall', 'in', 'zum']",[],[],10
163,"['verhallen', 'peitschenknallen', 'mauerwerk', 'hissen', 'gängen', 'glatter', 'blütenblatt', 'kleine']","['palast', 'ziellos']","['rennt', 'lehnen']",8
164,"['vorgezogenen', 'türkischen', 'sichel', 'schelmischer', 'hähnchenknochen', 'halbmondförmigen', 'gerüstbauern', 'feilte']","['abgenagten', 'gardinen']","['vergebens', 'bekannten']",8
165,"['saßen', 'wir', 'einst', 'rheinbrücken', 'rehrücken', 'pfeil', 'losgezogen', 'lagerfeuer', 'brieten']",['erlegt'],['unter'],9
166,"['würdest', 'laken', 'hinfort', 'gedicht', 'du']","['geisterhäuschen', 'forthin', 'dazwischenkommt', 'traumresten', 'wasserspeier']","['lag', 'es', 'mal', 'stille', 'ich']",5
